"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"SLC1A5",5.54361350348019e-13,-0.550663158211979,0.083,0.121,1.10822377548072e-08,"SLC1A5"
"LGALS3BP",5.56684721879229e-13,1.56438575995586,0.131,0.09,1.11286842750877e-08,"LGALS3BP"
"ARFIP2",5.78656077478426e-13,-0.553053184637306,0.071,0.107,1.15679136448712e-08,"ARFIP2"
"TGFB1",5.79104192409425e-13,0.724350075928868,0.464,0.627,1.15768719104568e-08,"TGFB1"
"FAM49A",6.75130947198701e-13,1.89773772712796,0.214,0.171,1.34965427654492e-08,"FAM49A"
"GLYR1",6.86697693463023e-13,0.569848264395682,0.217,0.282,1.37277735900193e-08,"GLYR1"
"LRMP",7.11297039963613e-13,1.9687728772973,0.231,0.193,1.42195391259126e-08,"LRMP"
"LEMD3",7.14216425868426e-13,0.671139412009447,0.124,0.175,1.42779005695357e-08,"LEMD3"
"CBWD3",7.53037996834715e-13,0.794407456333327,0.09,0.132,1.50539825947228e-08,"CBWD3"
"ATP8A1",7.94274298229082e-13,0.540010689908427,0.112,0.159,1.58783374958976e-08,"ATP8A1"
"GYG1",8.74445467158008e-13,1.91785247139254,0.197,0.156,1.74810393339557e-08,"GYG1"
"IER2",8.77423125884872e-13,0.967921272575291,0.543,0.602,1.75405657095645e-08,"IER2"
"NRDC",9.82267022226214e-13,0.843065267158172,0.33,0.432,1.96365000413242e-08,"NRDC"
"KCMF1",1.01164695650024e-12,0.956013831241517,0.205,0.271,2.02238343073962e-08,"KCMF1"
"HDHD5",1.08181415139532e-12,-0.711789722291075,0.082,0.119,2.16265467005438e-08,"HDHD5"
"YAF2",1.13418447204287e-12,0.62711782832584,0.185,0.242,2.2673481780609e-08,"YAF2"
"TMX4",1.15606530574662e-12,1.84318626309204,0.338,0.318,2.31109015271807e-08,"TMX4"
"IPMK",1.16333062120793e-12,2.15036792182201,0.149,0.109,2.32561424485678e-08,"IPMK"
"DNAJC5",1.1854895769274e-12,1.66393196192338,0.178,0.135,2.36991221323556e-08,"DNAJC5"
"BBC3",1.19869842440791e-12,0.920877537000655,0.088,0.13,2.39631802023386e-08,"BBC3"
"GABBR1",1.24423834217109e-12,0.599895693539704,0.074,0.113,2.48735686983422e-08,"GABBR1"
"ARIH1",1.32749453040584e-12,0.638880217688176,0.199,0.261,2.65379431573432e-08,"ARIH1"
"CABIN1",1.37805050642915e-12,0.697347833374833,0.152,0.207,2.75486076740251e-08,"CABIN1"
"TBC1D2B",1.43713734255231e-12,0.544004635408689,0.14,0.191,2.87298126149631e-08,"TBC1D2B"
"DERA",1.45584545607265e-12,0.659521808784857,0.099,0.141,2.91038065123483e-08,"DERA"
"XIAP",1.95851922124626e-12,0.795228349738059,0.273,0.352,3.9152757751934e-08,"XIAP"
"TFEB",2.01308874025983e-12,1.82271880325052,0.178,0.137,4.02436570065342e-08,"TFEB"
"FCGRT",2.01943191040355e-12,1.07269672300821,0.321,0.303,4.03704633208773e-08,"FCGRT"
"TRIM24",2.15540705878122e-12,0.637250325999033,0.096,0.138,4.30887425120953e-08,"TRIM24"
"AFF4",2.31576981197981e-12,0.674902616272058,0.257,0.331,4.62945543112883e-08,"AFF4"
"LYL1",2.55568820677992e-12,1.33282083005841,0.229,0.184,5.10907629417373e-08,"LYL1"
"LMNB1",2.76992523400689e-12,1.93198857922446,0.178,0.138,5.53735753530318e-08,"LMNB1"
"HIP1",2.78401228460481e-12,2.41649784179863,0.105,0.071,5.56551895815348e-08,"HIP1"
"STRADA",2.83794214910648e-12,0.534431204155658,0.088,0.129,5.67333015027877e-08,"STRADA"
"MON2",2.85572862770765e-12,0.780866564114537,0.188,0.246,5.70888709965036e-08,"MON2"
